,#Task,Step,numberOfAcceptedPeleSteps,currentEnergy,Binding Energy,sasaLig,RMSD_core,Processor
13,1,16,13,-6524.97,-29.359,0.0007878360000000001,2.05749,28
14,1,17,14,-6525.07,-29.5857,0.0,1.85348,28
15,1,19,15,-6524.4,-29.5424,0.0,1.90153,28
16,1,20,16,-6524.45,-29.2962,0.0,1.87602,28
0,1,0,0,-6547.79,-29.9185,0.0,2.01942,2
1,1,2,1,-6545.87,-29.7872,0.000616731,1.90858,2
2,1,3,2,-6545.58,-29.8934,0.000262208,2.0123900000000003,2
3,1,5,3,-6548.87,-29.8168,0.000262208,2.09691,2
4,1,6,4,-6550.05,-29.9409,0.000346424,1.8937400000000002,2
5,1,9,5,-6551.56,-29.5284,0.000262208,2.15678,2
6,1,17,6,-6550.69,-29.791999999999998,0.000608633,1.9244,2
0,1,0,0,-6520.13,-29.5218,0.0,1.81751,12
1,1,1,1,-6519.73,-29.1103,0.000738607,2.19309,12
2,1,3,2,-6520.62,-28.9546,0.000738607,2.17841,12
3,1,5,3,-6525.52,-29.118000000000002,0.0,2.30761,12
4,1,6,4,-6528.85,-29.2911,0.0,1.7629400000000002,12
5,1,7,5,-6529.02,-29.3968,0.0,2.0513,12
6,1,8,6,-6527.57,-29.445,0.0,1.7835599999999998,12
7,1,9,7,-6527.56,-28.709,0.0009541310000000001,2.17929,12
8,1,10,8,-6529.97,-29.1299,0.0,1.88727,12
9,1,11,9,-6527.02,-29.024,0.0,1.8308,12
10,1,12,10,-6529.22,-29.125999999999998,0.0,1.93528,12
11,1,13,11,-6540.83,-29.2942,0.0,1.75836,12
12,1,14,12,-6543.12,-29.1835,0.000523083,2.07958,12
13,1,15,13,-6540.45,-29.339000000000002,0.0,1.83464,12
14,1,17,14,-6538.19,-28.9887,0.0006151630000000001,1.57739,12
15,1,18,15,-6538.36,-29.5395,0.0,1.77388,12
16,1,19,16,-6536.37,-29.4331,0.0,1.76617,12
17,1,20,17,-6538.97,-29.3679,0.0,1.8931,12
0,1,0,0,-6546.49,-29.843000000000004,0.00060442,1.8730799999999999,6
1,1,1,1,-6548.74,-29.5625,0.000344026,2.02813,6
2,1,2,2,-6548.66,-29.8314,0.000344026,1.8465900000000002,6
3,1,3,3,-6548.7,-29.6693,0.000864814,2.05669,6
4,1,4,4,-6547.43,-29.2085,0.000688053,1.71218,6
5,1,5,5,-6547.74,-29.9701,0.000344026,1.9239700000000002,6
6,1,6,6,-6549.5,-29.4238,0.0,2.05609,6
7,1,9,7,-6549.08,-29.6688,0.000260394,2.17208,6
8,1,11,8,-6547.22,-29.5506,0.000344026,1.7068900000000002,6
9,1,12,9,-6545.53,-30.0354,0.0,1.8079900000000002,6
10,1,13,10,-6552.97,-29.9092,0.00112521,1.9509599999999998,6
11,1,15,11,-6551.31,-29.62,0.000260394,1.9539799999999998,6
12,1,16,12,-6549.61,-29.185,0.0009499430000000001,2.12023,6
13,1,18,13,-6552.23,-29.3031,0.0,1.78817,6
14,1,20,14,-6552.76,-29.4434,0.000260394,1.89277,6
0,1,0,0,-6517.07,-24.0995,0.0113119,2.20284,37
1,1,1,1,-6520.41,-23.6925,0.0147613,2.6461099999999997,37
2,1,2,2,-6521.31,-23.875,0.014135499999999999,2.55572,37
3,1,3,3,-6521.28,-23.7996,0.0164492,2.83445,37
4,1,4,4,-6521.21,-24.0133,0.015253200000000001,2.7044099999999998,37
5,1,5,5,-6522.49,-24.1225,0.013098199999999999,3.2288900000000003,37
6,1,6,6,-6523.76,-24.3484,0.012384200000000001,3.2779599999999998,37
7,1,7,7,-6523.84,-23.9758,0.012209399999999999,3.39066,37
8,1,13,8,-6526.0,-23.7424,0.014794299999999998,3.26439,37
9,1,20,9,-6525.56,-23.989,0.013233799999999999,3.22858,37
0,1,0,0,-6510.47,-22.5559,0.0194773,2.7382400000000002,40
1,1,1,1,-6512.74,-23.1523,0.023222,2.95558,40
2,1,2,2,-6519.98,-23.9383,0.0233218,2.63046,40
3,1,3,3,-6519.23,-23.6521,0.023463,2.4458,40
4,1,4,4,-6519.87,-23.9044,0.02242,2.30891,40
5,1,5,5,-6521.9,-23.7471,0.0252188,2.61489,40
6,1,6,6,-6526.16,-24.4585,0.0247298,2.6231,40
7,1,7,7,-6524.65,-24.1129,0.0230202,2.845,40
8,1,8,8,-6524.36,-24.449,0.022693099999999997,2.97408,40
9,1,10,9,-6525.07,-23.4685,0.0236899,2.8826099999999997,40
